sample_id,acc_x_mps2,acc_y_mps2,acc_z_mps2,voltage_v
0,0.21636,1.422889,10.249964,-0.004592
1,0.454533,1.266644,10.335169,0.001334
2,0.663895,1.391776,10.367421,0.007637
3,0.967941,1.342335,10.320732,0.00733
4,1.093196,1.400713,10.405223,0.012897
5,1.274435,1.049991,10.390796,0.022243
6,1.433321,1.084898,10.45246,0.025366
7,1.510831,0.89983,10.468062,0.025288
8,1.162432,0.842171,10.344513,0.023083
9,1.589915,0.663331,10.476937,0.031499
10,1.50988,0.630245,10.407207,0.03354
11,1.587574,0.562551,10.437842,0.035709
12,1.411951,0.318928,10.336237,0.033776
13,1.424154,0.48426,10.297705,0.026837
14,1.509616,0.251606,10.395647,0.038624
15,1.553515,-0.040704,10.23677,0.036592
16,1.46856,-0.314045,10.352924,0.043408
17,1.299747,-0.231594,10.401087,0.045445
18,1.410852,-0.493426,10.319104,0.041425
19,1.467937,-0.610417,10.372931,0.049226
20,1.30428,-0.695703,10.250625,0.040204
21,1.381291,-0.727541,10.5172,0.050561
22,1.559451,-0.844313,10.53602,0.058096
23,1.658194,-1.042681,10.55186,0.061719
24,1.885567,-1.013055,10.667929,0.0661
25,2.054326,-1.054805,10.502983,0.06417
26,1.976996,-0.968045,10.641365,0.069151
27,1.843788,-1.071439,10.650051,0.065295
28,2.183489,-1.163557,10.769424,0.074062
29,2.327609,-1.03734,10.616507,0.073252
30,2.495458,-1.298225,10.684136,0.0793
31,2.674062,-1.165912,10.855909,0.088168
32,2.790539,-1.281579,10.661442,0.087711
33,2.865892,-1.298715,10.738852,0.091681
34,2.838372,-1.034656,10.641914,0.082574
35,2.46912,-1.059135,10.589914,0.081481
36,2.476407,-1.018557,10.436445,0.071628
37,2.479092,-0.940862,10.623881,0.075591
38,2.181052,-0.952424,10.48522,0.068677
39,2.071078,-0.863561,10.377161,0.063596
40,2.124897,-0.899723,10.310689,0.067241
41,1.800141,-0.980216,10.206895,0.058564
42,1.571702,-0.89584,10.197656,0.048079
43,1.130521,-0.922938,10.01985,0.036367
44,1.222288,-0.905697,9.818405,0.036161
45,0.879985,-1.137083,9.829557,0.032076
46,0.611033,-0.967596,9.728225,0.021302
47,0.561448,-0.958054,9.530297,0.018318
48,0.346588,-0.880718,9.340411,0.009976
49,0.165149,-1.172476,9.549124,0.013627
50,0.35096,-1.268254,9.339569,0.012496
51,-0.095683,-1.284682,9.211608,0.003605
52,-0.335978,-1.161569,9.152696,0.000111
53,-0.252442,-1.405982,9.361008,0.003088
54,-0.339865,-1.564262,9.097777,0.001847
55,-0.018962,-1.608988,8.894593,0.000958
56,-0.027534,-1.607998,8.839587,0.00058
57,-0.005454,-1.509089,9.0247,0.004526
58,-0.318643,-1.867484,8.976819,0.003337
59,-0.101873,-1.885039,8.883084,0.00222
60,-0.322209,-1.818098,8.800296,-0.003393
61,-0.156052,-1.765281,9.007713,0.006758
62,-0.303213,-2.015628,8.97018,0.008103
63,-0.202854,-1.903852,9.316684,0.012069
64,-0.337899,-1.9202,9.061232,0.010118
65,-0.345717,-2.075744,9.076892,0.00778
66,-0.570094,-2.041707,8.958153,-0.005184
67,-0.831766,-1.874498,9.194498,-0.004194
68,-1.147936,-2.01033,9.218942,-0.004596
69,-1.07432,-1.659863,9.199578,-0.006156
70,-1.412113,-1.723797,9.191178,-0.016361
71,-1.862237,-1.549716,9.266053,-0.024697
72,-1.893034,-1.425887,9.39163,-0.023221
73,-2.065678,-1.411416,9.251878,-0.032863
74,-2.203598,-1.228391,9.403404,-0.029054
75,-2.22912,-1.182747,9.30346,-0.037558
76,-2.456272,-0.942973,9.178956,-0.039896
77,-2.537859,-1.046759,9.272164,-0.043878
78,-2.686626,-0.681593,9.245181,-0.056341
79,-2.873276,-0.524394,9.303581,-0.050761
80,-2.531281,-0.684193,9.247434,-0.053152
81,-2.533835,-0.335363,9.083169,-0.051879
82,-2.598174,-0.438386,9.19008,-0.056096
83,-2.581165,-0.192145,9.273492,-0.059132
84,-2.450516,0.130593,9.100564,-0.061019
85,-2.338229,-0.034687,9.228861,-0.054145
86,-2.334753,0.285299,9.258799,-0.058564
87,-2.147867,0.094823,9.321246,-0.051108
88,-1.863118,0.208224,9.308747,-0.047769
89,-1.67593,0.251165,9.372073,-0.041636
90,-1.638819,0.216135,9.28636,-0.045897
91,-1.612785,0.411774,9.42301,-0.039383
92,-1.107379,0.342019,9.376813,-0.035205
93,-1.295454,0.197539,9.562468,-0.030812
94,-1.268008,0.26995,9.610545,-0.026525
95,-1.179935,0.259211,9.735774,-0.024115
96,-1.211542,0.38229,9.922378,-0.022815
97,-0.948808,0.269008,10.055905,-0.017417
98,-1.167548,0.433262,10.133132,-0.019967
99,-1.278004,0.360652,10.11815,-0.023584
100,-1.2351,0.322752,10.097579,-0.019522
101,-1.160784,0.237521,10.444643,-0.008729
102,-1.275331,0.232448,10.505867,-0.014691
103,-1.25456,0.246633,10.537076,-0.009511
104,-1.208247,0.441349,10.622326,-0.010844
105,-1.337241,0.426836,10.709199,-0.006637
106,-1.238218,0.39334,10.714535,-0.008114
107,-1.078149,0.264911,10.826332,0.000877
108,-0.846961,0.716718,10.764417,-0.004373
109,-0.856267,0.750957,10.66949,-0.005803
110,-0.880856,0.372743,10.653059,-0.005981
111,-0.396805,0.626765,10.792452,0.002788
112,-0.249217,0.693767,10.901913,0.007341
113,-0.192418,0.913169,10.775229,0.008549
114,0.150192,0.882326,10.697233,0.008438
115,0.468081,1.14754,10.694683,0.013997
116,0.565949,1.203843,10.675656,0.016198
117,0.862604,1.291265,10.530763,0.015021
118,1.039612,1.468426,10.413314,0.014036
119,1.170842,1.461104,10.600396,0.014672
120,1.521308,1.646365,10.38675,0.02038
121,1.886063,1.535502,10.303585,0.025332
122,1.696973,1.779547,10.385816,0.020029
123,1.94312,1.904225,10.273282,0.02174
124,1.995398,1.994199,10.259209,0.018147
125,2.088092,1.997604,10.188998,0.019948
126,2.301294,2.078981,10.304133,0.025284
127,2.238757,2.112328,10.243447,0.022421
128,2.10748,1.998008,10.214509,0.014141
129,2.050805,2.136054,10.302331,0.018219
130,2.100736,2.079983,10.116426,0.011906
131,1.801879,1.915094,10.246943,0.014716
132,1.912249,2.01768,10.279734,0.019158
133,1.694128,1.929331,10.154378,0.007007
134,1.787689,2.010926,10.196844,0.011303
135,1.78453,1.582951,10.210163,0.019122
136,1.547645,1.873545,10.269187,0.011077
137,1.586544,1.605625,10.141839,0.010109
138,1.763195,1.652028,10.232519,0.015169
139,1.868192,1.64853,10.163145,0.016057
140,1.554812,1.391888,10.047253,0.013634
141,1.847103,1.098843,10.245093,0.031353
142,1.639985,1.009309,10.018076,0.017389
143,1.839002,0.796952,9.970219,0.029977
144,1.824309,0.936884,9.808903,0.021293
145,2.019012,1.073419,9.876373,0.021844
146,2.194302,0.751045,9.677296,0.026818
147,2.178314,0.748706,9.732863,0.025755
148,2.304305,0.845028,9.52749,0.027775
149,2.25745,0.543005,9.719804,0.031435
150,2.458145,0.65926,9.298398,0.024064
151,2.208717,0.41052,9.197637,0.020793
152,2.289381,0.560021,9.222418,0.018445
153,2.014638,0.450201,9.074435,0.01327
154,2.012769,0.408608,9.053076,0.011956
155,1.866853,0.548147,9.006431,0.009431
156,1.493117,0.464369,8.942344,0.002889
157,1.299421,0.5272,8.953571,-0.003279
158,1.260174,0.568164,8.823661,-0.005284
159,1.046559,0.551459,8.69904,-0.01375
160,0.946445,0.528551,8.717482,-0.015628
161,0.646772,0.474322,8.785134,-0.019888
162,0.185795,0.587695,8.716161,-0.028204
163,0.210689,0.528138,8.746611,-0.029271
164,0.020102,0.628486,8.771063,-0.030824
165,-0.419529,0.520643,8.79611,-0.037194
166,-0.481128,0.396716,8.808211,-0.037984
167,-0.770644,0.486809,8.69175,-0.043542
168,-0.655695,0.456075,8.814794,-0.042446
169,-0.86591,0.167284,8.968792,-0.034774
170,-0.948732,0.297336,9.033462,-0.037447
171,-0.819529,0.274656,9.031184,-0.036884
172,-0.947846,0.343694,9.12953,-0.039475
173,-1.076481,-0.116537,9.250116,-0.033466
174,-1.110879,-0.208925,9.201229,-0.029043
175,-1.1047,-0.299132,9.368915,-0.026254
176,-0.8791,-0.170156,9.413876,-0.025401
177,-0.93395,-0.320024,9.422808,-0.024443
178,-0.784422,-0.541652,9.485888,-0.013627
179,-0.804639,-0.606406,9.53498,-0.010339
180,-0.699731,-0.627439,9.652111,-0.01009
181,-0.556333,-1.018539,9.59887,-0.002149
182,-0.882179,-0.986307,9.538772,-0.007369
183,-1.104518,-1.185265,9.574191,-0.010288
184,-1.336295,-1.269955,9.644367,-0.00808
185,-1.530458,-1.556312,9.637189,-0.006189
186,-1.633475,-1.25072,9.743354,-0.01627
187,-1.82449,-1.551495,9.616028,-0.009451
188,-2.009434,-1.587097,9.833025,-0.013717
189,-2.177112,-1.749332,9.752222,-0.013779
190,-2.212952,-1.915745,9.735974,-0.016325
191,-2.633043,-1.88568,9.630837,-0.02347
192,-2.272484,-1.656656,9.717,-0.020926
193,-2.536036,-1.749579,9.752282,-0.022781
