System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1186365,0,0.00,29.0,335,394,367
1186386,0,0.00,29.0,335,394,367
1186421,0,0.00,29.1,334,395,367
1186442,0,0.00,29.0,335,394,367
1186435,0,0.00,28.9,335,394,366
1186509,0,0.00,29.0,335,395,367
1186580,0,0.00,29.0,334,394,367
1186620,0,0.00,29.0,335,395,367
1186709,0,0.00,29.0,335,394,367
1186746,0,0.00,29.0,335,394,367
1186802,0,0.00,29.0,335,395,367
1186884,0,0.00,29.0,334,395,367
1186952,0,0.00,29.0,335,395,367
1187051,0,0.00,29.0,335,395,367
1187126,0,0.00,29.0,334,395,367
1187199,0,0.00,29.0,335,395,367
1187297,0,0.00,29.0,335,394,367
1187354,0,0.00,29.0,334,394,367
1187422,0,0.00,29.0,335,395,367
1187542,0,0.00,29.0,334,395,367
1187663,0,0.00,28.9,334,394,367
1187711,0,0.00,29.0,334,395,367
1187806,0,0.00,29.1,334,394,367
1187930,0,0.00,29.0,334,395,367
1188007,0,0.00,29.0,334,394,367
1188105,0,0.00,29.0,334,394,366
1188221,0,0.00,29.0,334,394,367
1188334,0,0.00,29.0,334,395,367
1188449,0,0.00,29.0,334,395,367
1188604,0,0.00,29.0,334,394,366
1188702,0,0.00,29.0,334,394,367
1188814,0,0.00,29.0,335,395,367
1188875,0,0.00,29.0,334,394,367
1189011,0,0.00,28.9,334,394,366
1189138,0,0.00,29.0,334,394,366
1189210,0,0.00,29.0,334,395,367
1189344,0,0.00,29.1,334,395,367
1189505,0,0.00,29.0,335,394,366
1189645,0,0.00,29.1,334,394,367
1189774,0,0.00,29.0,335,394,367
1189891,0,0.00,29.0,334,394,366
1190010,0,0.00,29.0,335,394,367
1190179,0,0.00,28.9,335,394,366
1190313,0,0.00,29.0,334,395,367
1190399,0,0.00,28.9,334,395,367
1190527,0,0.00,29.0,335,394,366
1190687,0,0.00,29.0,334,395,367
1190830,0,0.00,29.0,334,394,367
1190916,0,0.00,29.0,334,394,367
1191044,0,0.00,29.0,334,394,367
1191194,0,0.00,29.0,335,394,367
1191326,0,0.00,29.0,334,394,367
1191456,0,0.00,29.0,335,395,367
1191582,0,0.00,29.0,334,394,367
1191738,0,0.00,29.0,334,394,367
1191916,0,0.00,29.0,335,395,367
1192084,0,0.00,29.0,334,395,367
1192202,0,0.00,29.0,335,395,367
1192373,0,0.00,29.1,335,394,367
1192496,0,0.00,29.0,334,395,366
1192603,0,0.00,29.1,335,394,367
1192778,0,0.00,29.0,335,394,366
1192931,0,0.00,29.0,334,394,368
1193069,0,0.00,29.0,334,395,366
1193217,0,0.00,29.0,335,395,367
1193352,0,0.00,29.0,334,395,367
1193473,0,0.00,29.0,335,394,367
1193627,0,0.00,29.1,335,395,367
1193789,0,0.00,29.0,335,394,367
1193954,0,0.00,29.1,335,395,367
1194123,0,0.00,29.0,335,394,367
1194283,0,0.00,29.0,335,395,366
1194427,0,0.00,29.1,334,395,367
1194569,0,0.00,28.9,335,394,366
1194694,0,0.00,29.0,334,395,367
1194858,0,0.00,29.0,334,395,366
1195015,0,0.00,29.0,335,394,367
1195157,0,0.00,29.0,334,395,367
1195283,0,0.00,29.1,334,394,367
1195461,0,0.00,29.0,334,394,366
1195600,0,0.00,29.0,335,394,367
1195741,0,0.00,29.1,335,395,366
1195895,0,0.00,29.1,334,394,367
1196010,0,0.00,29.0,334,394,366
1196218,0,0.00,29.0,334,394,366
1196321,0,0.00,29.1,334,394,367
