System output with pulse of air occasionally
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1374671,0,0.00,29.3,362,347,394
1375035,0,0.00,29.3,362,347,394
1375449,0,0.00,29.3,362,347,394
1375836,0,0.00,29.3,362,347,394
1376202,0,0.00,29.4,362,348,394
1376617,0,0.00,29.3,362,347,394
1377014,0,0.00,29.3,362,347,394
1377401,0,0.00,29.3,362,347,393
1377810,0,0.00,29.3,362,347,394
1378208,0,0.00,29.4,362,347,394
1378612,0,0.00,29.4,362,347,394
1378976,0,0.00,29.3,362,347,394
1379346,0,0.00,29.4,362,347,394
1379736,0,0.00,29.3,362,347,393
1380141,0,0.00,29.3,362,347,393
1380539,0,0.00,29.4,363,347,394
1380901,0,0.00,29.3,362,347,394
1381281,0,0.00,29.3,362,348,394
1381661,0,0.00,29.3,363,347,394
1382068,0,0.00,29.4,362,347,394
1382404,0,0.00,29.3,362,347,394
1382764,0,0.00,29.3,362,347,394
1383155,0,0.00,29.3,362,346,393
1383524,0,0.00,29.3,362,347,394
1383922,0,0.00,29.3,362,347,394
1384267,0,0.00,29.3,362,347,394
1384632,0,0.00,29.3,362,347,394
1385017,0,0.00,29.3,362,347,394
1385337,0,0.00,29.3,362,347,393
1385692,0,0.00,29.3,362,347,394
1386083,0,0.00,29.3,362,347,394
1386429,0,0.00,29.3,362,347,394
1386778,0,0.00,29.3,362,347,394
1387156,0,0.00,29.3,362,347,394
1387512,0,0.00,29.3,362,347,393
1387838,0,0.00,29.3,362,347,393
1388184,0,0.00,29.3,362,347,394
1388510,0,0.00,29.3,362,347,394
1388867,0,0.00,29.3,363,347,394
1389223,0,0.00,29.3,362,347,393
1389557,0,0.00,29.3,362,347,394
1389878,0,0.00,29.3,362,347,393
1390228,0,0.00,29.3,362,347,394
1390549,0,0.00,29.3,362,347,394
1390894,0,0.00,29.3,362,347,394
1391198,0,0.00,29.3,362,347,394
1391546,0,0.00,29.3,362,347,394
1391856,0,0.00,29.3,363,347,394
1392170,0,0.00,29.3,362,347,394
1392492,0,0.00,29.2,362,347,394
1392833,0,0.00,29.3,362,347,394
1393095,0,0.00,29.3,362,347,394
1393454,0,0.00,29.3,362,348,394
1393803,0,0.00,29.3,362,347,394
1394073,0,0.00,29.3,362,347,394
1394414,0,0.00,29.3,363,347,394
1394669,0,0.00,29.2,362,347,394
1395012,0,0.00,29.3,362,347,394
1395325,0,0.00,29.3,362,348,394
1395644,0,0.00,29.3,362,347,394
1395928,0,0.00,29.3,362,347,394
