sample_id,time_s,acc_x_mps2,acc_y_mps2,acc_z_mps2,true_voltage_v,accel_induced_voltage_v,measured_voltage_v
0,0.0,0.21636,1.422889,10.249964,2.187568,-0.006666,2.180903
1,0.02,0.290161,1.449611,10.287197,2.185652,-0.004284,2.181369
2,0.04,0.717806,1.496544,10.401368,2.187474,0.003133,2.190607
3,0.06,0.767385,1.355918,10.484684,2.188105,0.009407,2.197512
4,0.08,1.127448,1.12425,10.376909,2.190287,0.01921,2.209498
5,0.1,1.181746,1.233006,10.435635,2.191998,0.01499,2.206988
6,0.12,1.396702,0.957508,10.212736,2.188664,0.018306,2.20697
7,0.14,1.522073,1.077579,10.325076,2.193858,0.021137,2.214995
8,0.16,1.466476,0.87347,10.426931,2.194602,0.029337,2.223939
9,0.18,1.552189,0.850233,10.447427,2.191094,0.028266,2.21936
10,0.2,1.463833,0.709568,10.378045,2.200809,0.026864,2.227672
11,0.22,1.3791,0.60441,10.499594,2.196143,0.033623,2.229766
12,0.24,1.658351,0.381263,10.259998,2.193854,0.036795,2.230648
13,0.26,1.280926,0.254038,10.383508,2.195325,0.033926,2.229251
14,0.28,1.487093,0.341562,10.404789,2.195263,0.033667,2.22893
15,0.3,1.282564,0.063926,10.30526,2.197699,0.03496,2.232659
16,0.32,1.267397,-0.199043,10.202938,2.195478,0.032825,2.228303
17,0.34,1.38751,-0.184608,10.353147,2.200324,0.039929,2.240253
18,0.36,1.466625,-0.34315,10.385943,2.19732,0.046133,2.243452
19,0.38,1.39939,-0.43104,10.376159,2.207023,0.042782,2.249804
20,0.4,1.582262,-0.654825,10.356627,2.198587,0.049296,2.247883
21,0.42,1.620218,-0.687479,10.476831,2.195651,0.055236,2.250887
22,0.44,1.59479,-0.916102,10.39905,2.203576,0.058803,2.262379
23,0.46,1.498739,-0.984367,10.588532,2.203048,0.056976,2.260023
24,0.48,1.750067,-1.134193,10.529277,2.201558,0.065417,2.266975
25,0.5,1.86354,-0.837974,10.566752,2.210083,0.058666,2.268748
26,0.52,1.980463,-1.078063,10.715713,2.201739,0.073143,2.274883
27,0.54,2.199855,-0.98918,10.662574,2.207733,0.070898,2.278631
28,0.56,2.108994,-1.143783,10.616098,2.214429,0.070181,2.284611
29,0.58,2.417392,-1.330418,10.620562,2.209942,0.082031,2.291973
30,0.6,2.657497,-1.178511,10.577161,2.21132,0.082504,2.293824
31,0.62,2.626837,-1.236259,10.763905,2.210996,0.087326,2.298322
32,0.64,2.779545,-1.090325,10.694135,2.217974,0.085357,2.303331
33,0.66,2.62089,-1.119426,10.778223,2.212653,0.085447,2.2981
34,0.68,2.797834,-1.157181,10.499623,2.213974,0.082308,2.296281
35,0.7,2.54594,-0.991568,10.653855,2.210867,0.079569,2.290436
36,0.72,2.526198,-1.198899,10.598201,2.214491,0.077733,2.292224
37,0.74,2.510508,-0.974449,10.46183,2.216599,0.075709,2.292308
38,0.76,2.229601,-0.96012,10.444081,2.222965,0.062869,2.285834
39,0.78,2.238547,-1.007524,10.362113,2.222639,0.066524,2.289163
40,0.8,2.240921,-1.004865,10.315809,2.216226,0.063806,2.280032
41,0.82,1.778394,-0.978877,10.214137,2.212145,0.059613,2.271758
42,0.84,1.537417,-0.773487,10.021428,2.220098,0.051066,2.271164
43,0.86,1.233342,-1.10241,9.95775,2.221394,0.042618,2.264012
44,0.88,1.272601,-0.992155,9.769824,2.219426,0.039014,2.25844
45,0.9,0.959397,-1.184474,9.790517,2.225677,0.03874,2.264417
46,0.92,0.767869,-0.98896,9.589961,2.219702,0.022944,2.242646
47,0.94,0.57379,-1.001542,9.549054,2.219523,0.016665,2.236187
48,0.96,0.20742,-1.042978,9.304413,2.222722,0.008337,2.231059
49,0.98,0.38454,-1.155327,9.4771,2.223266,0.013911,2.237178
50,1.0,0.001119,-1.071306,9.391066,2.226664,0.014128,2.240791
51,1.02,-0.016681,-1.228895,9.258821,2.225272,0.010569,2.23584
52,1.04,0.097418,-1.501764,9.134068,2.227955,0.009866,2.237821
53,1.06,-0.293402,-1.660791,8.955304,2.227187,-0.001091,2.226096
54,1.08,-0.119002,-1.586578,8.962039,2.222059,0.002238,2.224296
55,1.1,-0.129399,-1.483987,9.086037,2.22828,0.005893,2.234173
56,1.12,-0.192725,-1.720648,8.954496,2.227819,-0.003615,2.224204
57,1.14,-0.154475,-1.696756,8.950784,2.228151,0.003001,2.231152
58,1.16,0.036206,-1.779334,8.932455,2.229234,0.006082,2.235316
59,1.18,-0.323267,-1.849744,8.980134,2.237255,0.004179,2.241434
60,1.2,-0.059289,-1.953734,9.038872,2.229013,0.0101,2.239113
61,1.22,-0.159789,-1.994124,9.161959,2.23484,0.006028,2.240868
62,1.24,-0.188989,-1.981929,9.024242,2.235239,0.008035,2.243274
63,1.26,-0.566859,-2.068424,9.112073,2.238447,0.008158,2.246605
64,1.28,-0.195961,-2.156513,9.140541,2.229492,0.01597,2.245462
65,1.3,-0.496108,-2.049913,9.269672,2.237868,0.003154,2.241021
66,1.32,-0.62886,-1.979976,9.147502,2.235232,0.005259,2.240491
67,1.34,-0.994027,-1.832437,9.312015,2.234835,-0.002667,2.232168
68,1.36,-0.976787,-1.876996,9.244439,2.238293,-0.006106,2.232187
69,1.38,-0.982037,-1.659781,9.201467,2.236774,-0.009788,2.226985
70,1.4,-1.248037,-1.672361,9.269579,2.238809,-0.0094,2.22941
71,1.42,-1.616266,-1.488963,9.231406,2.242527,-0.019295,2.223232
72,1.44,-1.821366,-1.549045,9.179071,2.238489,-0.02744,2.21105
73,1.46,-1.900867,-1.356931,9.383067,2.248219,-0.024551,2.223668
74,1.48,-2.374328,-1.272655,9.249802,2.237582,-0.037871,2.19971
75,1.5,-2.31877,-1.157394,9.188393,2.240434,-0.034743,2.205691
76,1.52,-2.512865,-1.067839,9.210437,2.246232,-0.045184,2.201048
77,1.54,-2.548122,-0.783698,9.287865,2.248225,-0.047758,2.200467
78,1.56,-2.550863,-0.807454,9.182215,2.248267,-0.046367,2.2019
79,1.58,-2.734025,-0.720798,9.244418,2.243437,-0.053874,2.189563
80,1.6,-2.825438,-0.453989,9.016193,2.247056,-0.061531,2.185525
81,1.62,-2.79761,-0.257005,9.223378,2.244798,-0.06134,2.183458
82,1.64,-2.592032,-0.400879,9.139993,2.245363,-0.05561,2.189753
83,1.66,-2.569186,-0.141947,9.2544,2.248576,-0.057269,2.191307
84,1.68,-2.633908,0.021359,9.208973,2.252876,-0.062801,2.190076
85,1.7,-2.359299,0.028414,9.170021,2.249184,-0.061231,2.187953
86,1.72,-2.122502,0.174418,9.285907,2.256527,-0.052974,2.203552
87,1.74,-2.075803,0.174237,9.378146,2.245206,-0.04809,2.197116
88,1.76,-2.09475,-0.031487,9.097767,2.246872,-0.050261,2.196611
89,1.78,-1.871795,0.24674,9.212625,2.253465,-0.053044,2.200421
90,1.8,-1.466708,0.202802,9.300384,2.252611,-0.04039,2.212222
91,1.82,-1.323684,0.337235,9.330111,2.251169,-0.040537,2.210632
92,1.84,-1.293894,0.377976,9.491104,2.256063,-0.036919,2.219144
93,1.86,-1.30276,0.36446,9.704762,2.253759,-0.031744,2.222014
94,1.88,-1.338377,0.415398,9.624234,2.255682,-0.038747,2.216934
95,1.9,-1.035595,0.20901,9.703419,2.258419,-0.027248,2.231171
96,1.92,-1.138914,0.341531,9.784263,2.259861,-0.022101,2.23776
97,1.94,-1.353365,0.179158,10.029945,2.252508,-0.023002,2.229507
98,1.96,-1.104417,0.382838,10.049482,2.257284,-0.021912,2.235372
99,1.98,-0.979951,0.254954,10.195759,2.256041,-0.012456,2.243585
100,2.0,-1.177503,0.281856,10.186159,2.260539,-0.01333,2.247209
101,2.02,-1.152475,0.369207,10.428734,2.261504,-0.011543,2.249961
102,2.04,-1.177106,0.385851,10.455761,2.256365,-0.012323,2.244041
103,2.06,-1.441255,0.309148,10.564555,2.263557,-0.013292,2.250264
104,2.08,-1.101285,0.32781,10.522203,2.256173,-0.011168,2.245005
105,2.1,-1.355876,0.418022,10.650338,2.262673,-0.011587,2.251086
106,2.12,-1.023238,0.496718,10.667603,2.26069,-0.007837,2.252853
107,2.14,-1.273953,0.503887,10.855437,2.26204,-0.008219,2.253821
108,2.16,-0.851709,0.257264,10.804132,2.263032,0.001511,2.264544
109,2.18,-0.690452,0.653812,10.787095,2.262881,-0.001055,2.261826
110,2.2,-0.765811,0.50008,10.925122,2.26676,0.005742,2.272503
111,2.22,-0.656408,0.921685,10.969062,2.264771,-0.00148,2.263291
112,2.24,-0.426502,0.845818,10.72346,2.264632,0.003299,2.267931
113,2.26,-0.281457,1.101467,10.898589,2.261546,-7.2e-05,2.261474
114,2.28,0.101732,0.899996,10.720962,2.258033,0.008701,2.266733
115,2.3,0.597418,0.997501,10.682389,2.261822,0.017577,2.279399
116,2.32,0.60233,1.411539,10.677743,2.265685,0.011546,2.277232
117,2.34,0.813681,1.192414,10.638586,2.266784,0.016597,2.283381
118,2.36,1.155184,1.383026,10.599169,2.273024,0.016023,2.289048
119,2.38,1.539166,1.514558,10.454379,2.275591,0.021065,2.296657
120,2.4,1.695291,1.720698,10.332187,2.269167,0.0166,2.285767
121,2.42,1.545194,1.555493,10.427687,2.271065,0.020602,2.291668
122,2.44,1.816637,1.738559,10.296503,2.268115,0.01648,2.284595
123,2.46,1.945517,1.892414,10.263742,2.269566,0.016607,2.286174
124,2.48,2.054299,2.010934,10.31439,2.272157,0.015791,2.287948
125,2.5,2.062828,2.041525,10.321394,2.26642,0.020198,2.286618
126,2.52,2.276379,2.036805,10.237965,2.273035,0.022493,2.295527
127,2.54,2.208355,2.089233,10.238666,2.269801,0.019506,2.289307
128,2.56,2.249595,2.074982,10.199116,2.271135,0.021971,2.293106
129,2.58,1.948952,2.185767,10.128495,2.269893,0.012002,2.281895
130,2.6,2.004981,2.109792,10.283307,2.272281,0.018073,2.290354
131,2.62,1.809069,2.177626,10.246843,2.275576,0.012157,2.287733
132,2.64,1.749539,1.9776,10.236352,2.274353,0.013494,2.287847
133,2.66,1.60839,1.974872,10.14165,2.2716,0.008212,2.279812
134,2.68,1.483882,1.961904,10.265519,2.275125,0.00678,2.281905
135,2.7,1.540177,1.802335,10.002066,2.276257,0.008377,2.284634
136,2.72,1.578721,1.684947,10.206086,2.277194,0.016277,2.293471
137,2.74,1.599155,1.575451,10.145907,2.27711,0.018009,2.295119
138,2.76,1.559168,1.443975,10.099057,2.270693,0.015033,2.285726
139,2.78,1.455132,1.327162,9.990019,2.274042,0.012994,2.287035
140,2.8,1.501421,1.175069,10.134555,2.276781,0.018795,2.295577
141,2.82,1.805333,1.248675,9.980814,2.277838,0.020023,2.297861
142,2.84,1.718477,1.006927,10.128958,2.277364,0.02283,2.300193
143,2.86,1.872564,1.158118,10.009604,2.278006,0.023589,2.301595
144,2.88,2.215943,1.102969,9.981901,2.27603,0.037607,2.313637
145,2.9,1.902211,0.842166,9.803834,2.284664,0.023364,2.308029
146,2.92,1.957014,0.828426,9.828193,2.27921,0.020978,2.300189
147,2.94,2.112294,0.688389,9.704645,2.278984,0.027904,2.306888
148,2.96,2.139722,0.49812,9.556962,2.284964,0.024542,2.309506
149,2.98,2.567483,0.668817,9.432472,2.278783,0.029154,2.307938
150,3.0,2.152379,0.814959,9.353575,2.283694,0.020942,2.304636
151,3.02,2.258651,0.445113,9.317528,2.283097,0.025779,2.308877
152,3.04,2.225357,0.380932,9.25027,2.280346,0.016951,2.297297
153,3.06,2.049354,0.362472,9.204027,2.28855,0.023129,2.311679
154,3.08,1.94673,0.451468,9.126742,2.286247,0.012642,2.298889
155,3.1,1.850274,0.718131,8.983585,2.281949,0.00537,2.287319
156,3.12,1.760923,0.400074,8.900333,2.280244,0.005387,2.285631
157,3.14,1.716412,0.585454,8.849654,2.281276,0.000793,2.282069
158,3.16,1.397633,0.466949,8.919925,2.280283,-0.001687,2.278596
159,3.18,1.247001,0.335426,8.856708,2.279173,-0.003448,2.275725
160,3.2,0.775366,0.631397,8.478603,2.279293,-0.025589,2.253704
161,3.22,0.556737,0.470468,8.694625,2.281802,-0.022107,2.259695
162,3.24,0.211117,0.591503,8.75226,2.289969,-0.029392,2.260577
163,3.26,0.045026,0.574162,8.687578,2.285819,-0.035827,2.249993
164,3.28,-0.086388,0.473721,8.651584,2.281511,-0.03077,2.250742
165,3.3,-0.34213,0.668329,8.777752,2.281462,-0.040934,2.240528
166,3.32,-0.405025,0.45613,8.706496,2.286325,-0.038396,2.247929
167,3.34,-0.762067,0.469663,8.801991,2.27938,-0.041212,2.238168
168,3.36,-0.855301,0.591863,8.802286,2.282693,-0.042882,2.239811
169,3.38,-1.037982,0.34604,9.002141,2.28672,-0.04544,2.24128
170,3.4,-0.888741,0.327344,9.121613,2.289747,-0.028135,2.261612
171,3.42,-1.148335,0.270649,9.001032,2.291714,-0.040202,2.251512
172,3.44,-0.879195,0.110341,9.09554,2.282424,-0.028815,2.253609
173,3.46,-0.911082,0.06701,9.298414,2.291024,-0.026154,2.26487
174,3.48,-1.157683,-0.082707,9.306304,2.290092,-0.028369,2.261723
175,3.5,-1.068374,-0.111447,9.531082,2.29135,-0.02163,2.26972
176,3.52,-0.933266,-0.167449,9.558875,2.289839,-0.016919,2.27292
177,3.54,-1.024111,-0.31104,9.541785,2.287503,-0.017235,2.270268
178,3.56,-0.997765,-0.580651,9.518531,2.29579,-0.01547,2.28032
179,3.58,-0.816002,-0.705948,9.567838,2.286695,-0.01156,2.275135
180,3.6,-0.857097,-0.770057,9.714385,2.289843,-0.007245,2.282598
181,3.62,-0.853378,-0.963535,9.507033,2.294575,-0.007501,2.287074
182,3.64,-1.33723,-1.023878,9.620639,2.296122,-0.015724,2.280398
183,3.66,-1.239839,-1.244457,9.587482,2.288997,-0.01338,2.275617
184,3.68,-1.407617,-1.432887,9.566178,2.286627,-0.011944,2.274683
185,3.7,-1.498507,-1.505821,9.734602,2.291363,-0.00863,2.282733
186,3.72,-1.620373,-1.325513,9.72322,2.293131,-0.018984,2.274147
187,3.74,-1.802824,-1.792933,9.676143,2.293017,-0.01198,2.281037
188,3.76,-1.828294,-1.757467,9.762279,2.287424,-0.010009,2.277416
189,3.78,-2.007232,-1.668434,9.713064,2.298087,-0.015941,2.282147
190,3.8,-2.273878,-2.051674,9.874103,2.29134,-0.013736,2.277604
191,3.82,-2.212547,-1.692373,9.754099,2.288315,-0.016315,2.272
192,3.84,-2.580351,-1.959609,9.846326,2.286391,-0.016795,2.269597
193,3.86,-2.563567,-1.650607,9.811795,2.286778,-0.025087,2.261691
194,3.88,-2.697458,-1.820316,9.893408,2.287233,-0.02206,2.265174
195,3.9,-2.645331,-1.689291,9.999745,2.292096,-0.017047,2.275049
196,3.92,-2.580188,-1.700243,9.951719,2.2959,-0.021497,2.274403
197,3.94,-2.949127,-1.687773,9.916089,2.293477,-0.028568,2.264909
198,3.96,-2.778305,-1.719719,9.918976,2.293907,-0.022921,2.270986
199,3.98,-2.663083,-1.766656,10.126876,2.299455,-0.017734,2.281721
200,4.0,-2.397575,-1.546583,9.920524,2.291684,-0.020662,2.271022
201,4.02,-2.316507,-1.555428,10.244222,2.296003,-0.012616,2.283387
202,4.04,-2.341604,-1.632565,10.26961,2.293857,-0.008754,2.285104
203,4.06,-2.163235,-1.354541,10.43569,2.298971,-0.004431,2.294539
204,4.08,-1.865572,-1.313441,10.490835,2.292487,0.00301,2.295497
205,4.1,-1.487396,-1.120633,10.52367,2.295522,0.005657,2.30118
206,4.12,-1.499619,-1.197678,10.587388,2.29407,0.011274,2.305344
207,4.14,-1.29091,-1.199153,10.739674,2.2952,0.014734,2.309933
208,4.16,-1.140594,-1.280278,10.732874,2.291431,0.018222,2.309652
209,4.18,-1.112501,-1.026053,10.854241,2.29577,0.017063,2.312833
210,4.2,-0.777628,-1.281568,10.756852,2.294566,0.025639,2.320204
211,4.22,-0.715614,-1.161244,10.895722,2.293729,0.024591,2.31832
212,4.24,-0.568076,-1.066135,11.010387,2.29716,0.032946,2.330106
213,4.26,-0.493729,-1.122666,10.857869,2.290819,0.037081,2.3279
214,4.28,-0.608698,-1.060563,10.909889,2.294453,0.026629,2.321082
215,4.3,-0.670111,-1.148769,10.82121,2.294975,0.024557,2.319532
216,4.32,-0.511773,-1.043953,10.867402,2.298206,0.027701,2.325907
217,4.34,-0.398223,-1.22095,10.936312,2.294244,0.035726,2.32997
218,4.36,-0.389302,-1.133805,10.859695,2.294348,0.035324,2.329673
219,4.38,-0.32294,-1.100113,10.696106,2.292246,0.027423,2.31967
220,4.4,-0.467678,-1.13789,10.657795,2.299111,0.026173,2.325283
221,4.42,-0.674763,-1.26544,10.453789,2.293355,0.018361,2.311716
222,4.44,-0.488156,-1.284933,10.553701,2.293855,0.02932,2.323175
223,4.46,-0.2331,-1.398734,10.605279,2.290793,0.030846,2.321639
224,4.48,-0.138534,-1.536664,10.46744,2.291913,0.033123,2.325036
225,4.5,-0.261898,-1.165582,10.271515,2.295478,0.023325,2.318803
226,4.52,-0.163733,-1.433041,10.246589,2.295973,0.02893,2.324903
227,4.54,-0.114148,-1.402841,10.193745,2.295193,0.025564,2.320757
228,4.56,0.154379,-1.424945,10.023593,2.297014,0.024689,2.321703
229,4.58,0.476398,-1.320362,9.909475,2.296534,0.029667,2.326201
230,4.6,0.627617,-1.201407,9.911793,2.293549,0.028841,2.322391
231,4.62,0.633249,-1.355,9.899742,2.295702,0.031114,2.326816
232,4.64,0.887352,-1.196139,9.779741,2.292514,0.031673,2.324188
233,4.66,1.173631,-1.275908,9.836335,2.298147,0.03967,2.337816
234,4.68,1.448951,-1.041712,9.725513,2.298252,0.042946,2.341198
235,4.7,1.663035,-0.963932,9.763094,2.294528,0.039577,2.334105
236,4.72,1.96857,-1.066992,9.808582,2.298114,0.05081,2.348924
237,4.74,2.053237,-0.626685,9.568449,2.291977,0.038922,2.330899
238,4.76,2.178848,-0.784843,9.640728,2.295816,0.044448,2.340265
239,4.78,2.537689,-0.697769,9.515159,2.296483,0.048442,2.344924
240,4.8,2.499452,-0.488303,9.526985,2.293359,0.043891,2.33725
241,4.82,2.583482,-0.337352,9.665173,2.296996,0.050641,2.347637
242,4.84,2.666338,-0.070706,9.661425,2.293614,0.045061,2.338675
243,4.86,2.343731,0.021619,9.5412,2.296296,0.03729,2.333586
244,4.88,2.375447,0.032192,9.560856,2.293461,0.037244,2.330705
245,4.9,2.345712,0.277162,9.4447,2.288467,0.032098,2.320565
246,4.92,2.250736,0.351295,9.453601,2.290619,0.026757,2.317376
247,4.94,2.26234,0.634688,9.58552,2.293971,0.028792,2.322763
248,4.96,2.336283,0.699452,9.494299,2.297715,0.029737,2.327451
249,4.98,2.164571,0.948639,9.572393,2.297105,0.017729,2.314834
250,5.0,1.832723,0.870018,9.330167,2.292675,0.012421,2.305096
251,5.02,1.771162,1.020829,9.315111,2.292864,0.00926,2.302124
252,5.04,1.76932,1.077462,9.513394,2.298121,0.008046,2.306167
253,5.06,1.808855,1.055691,9.32427,2.294158,0.009776,2.303934
254,5.08,1.438208,1.218776,9.311891,2.296423,-0.002659,2.293764
